datetime,UL,DL
2025/Sep/24 16:53:23,1.28,11.3
2025/Sep/24 16:53:26,5.09,72.1
2025/Sep/24 16:53:28,6.1,72.3
2025/Sep/24 16:53:31,5.14,79.6
2025/Sep/24 16:53:34,6.13,81.7
2025/Sep/24 16:53:36,5.0,51.3
2025/Sep/24 16:53:39,3.16,0.65
2025/Sep/24 16:53:41,6.13,93.3
2025/Sep/24 16:53:45,6.08,57.5
2025/Sep/24 16:53:48,4.4,43.4
2025/Sep/24 16:53:50,6.61,52.5
2025/Sep/24 16:53:53,5.71,48.9
2025/Sep/24 16:53:55,5.12,79.7
2025/Sep/24 16:53:58,5.1,46.1
2025/Sep/24 16:54:00,4.64,42.3
2025/Sep/24 16:54:03,6.11,121.0
2025/Sep/24 16:54:05,5.13,23.4
2025/Sep/24 16:54:08,4.6,54.5
2025/Sep/24 16:54:10,5.66,62.6
2025/Sep/24 16:54:13,5.62,72.4
2025/Sep/24 16:54:15,5.1,64.3
2025/Sep/24 16:54:18,3.96,70.6
2025/Sep/24 16:54:20,6.14,33.5
2025/Sep/24 16:54:23,4.31,76.8
2025/Sep/24 16:54:25,4.11,35.0
2025/Sep/24 16:54:28,5.09,49.0
2025/Sep/24 16:54:31,3.83,27.0
2025/Sep/24 16:54:33,4.67,8.26
2025/Sep/24 16:54:37,4.64,29.7
2025/Sep/24 16:54:39,3.56,18.6
2025/Sep/24 16:54:42,4.1,24.1
2025/Sep/24 16:54:46,4.58,26.8
2025/Sep/24 16:54:49,5.17,24.7
2025/Sep/24 16:54:52,3.59,33.5
2025/Sep/24 16:54:54,6.6,60.6
2025/Sep/24 16:54:57,4.1,30.4
2025/Sep/24 16:55:00,6.12,52.4
2025/Sep/24 16:55:02,4.58,35.5
2025/Sep/24 16:55:05,3.41,11.2
2025/Sep/24 16:55:07,5.12,68.8
2025/Sep/24 16:55:10,3.57,38.1
2025/Sep/24 16:55:12,5.07,42.2
2025/Sep/24 16:55:15,4.13,74.6
2025/Sep/24 16:55:18,4.67,65.8
2025/Sep/24 16:55:20,4.64,78.5
2025/Sep/24 16:55:23,5.14,28.8
2025/Sep/24 16:55:25,4.66,21.4
