Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:45:49,43.373,1,1
2025/Sep/24 16:45:50,41.148,1,1
2025/Sep/24 16:45:51,44.467,1,1
2025/Sep/24 16:45:52,38.306,1,1
2025/Sep/24 16:45:54,46.174,1,1
2025/Sep/24 16:45:55,44.651,1,1
2025/Sep/24 16:45:56,45.318,1,1
2025/Sep/24 16:45:57,42.771,1,1
2025/Sep/24 16:45:58,36.048,1,1
2025/Sep/24 16:45:59,31.864,1,1
2025/Sep/24 16:46:00,38.155,1,1
2025/Sep/24 16:46:01,33.466,1,1
2025/Sep/24 16:46:03,33.108,1,1
2025/Sep/24 16:46:04,32.785,1,1
2025/Sep/24 16:46:05,34.211,1,1
2025/Sep/24 16:46:06,33.204,1,1
2025/Sep/24 16:46:07,48.286,1,1
2025/Sep/24 16:46:08,35.910,1,1
2025/Sep/24 16:46:09,33.430,1,1
2025/Sep/24 16:46:11,33.787,1,1
2025/Sep/24 16:46:12,38.244,1,1
2025/Sep/24 16:46:13,37.967,1,1
2025/Sep/24 16:46:14,35.727,1,1
2025/Sep/24 16:46:15,40.658,1,1
2025/Sep/24 16:46:16,32.853,1,1
2025/Sep/24 16:46:17,47.608,1,1
2025/Sep/24 16:46:18,38.510,1,1
2025/Sep/24 16:46:20,42.281,1,1
2025/Sep/24 16:46:21,41.219,1,1
2025/Sep/24 16:46:22,42.612,1,1
2025/Sep/24 16:46:23,36.494,1,1
2025/Sep/24 16:46:24,44.060,1,1
2025/Sep/24 16:46:25,45.279,1,1
2025/Sep/24 16:46:26,44.707,1,1
2025/Sep/24 16:46:28,60.611,1,1
2025/Sep/24 16:46:29,34.856,1,1
2025/Sep/24 16:46:30,39.841,1,1
2025/Sep/24 16:46:31,40.116,1,1
2025/Sep/24 16:46:32,41.915,1,1
2025/Sep/24 16:46:33,36.502,1,1
2025/Sep/24 16:46:34,40.155,1,1
2025/Sep/24 16:46:35,39.546,1,1
2025/Sep/24 16:46:37,35.945,1,1
2025/Sep/24 16:46:38,44.656,1,1
2025/Sep/24 16:46:39,37.588,1,1
2025/Sep/24 16:46:40,35.096,1,1
2025/Sep/24 16:46:41,35.549,1,1
2025/Sep/24 16:46:42,44.112,1,1
2025/Sep/24 16:46:43,43.555,1,1
2025/Sep/24 16:46:45,53.054,1,1
2025/Sep/24 16:46:46,44.079,1,1
2025/Sep/24 16:46:47,46.691,1,1
2025/Sep/24 16:46:48,45.658,1,1
2025/Sep/24 16:46:49,32.793,1,1
2025/Sep/24 16:46:50,43.734,1,1
2025/Sep/24 16:46:51,34.943,1,1
2025/Sep/24 16:46:52,41.559,1,1
2025/Sep/24 16:46:54,40.967,1,1
2025/Sep/24 16:46:55,32.940,1,1
2025/Sep/24 16:46:56,38.316,1,1
2025/Sep/24 16:46:57,40.216,1,1
