Date,Time,UL,DL
2025/Sep/04,23:03:09,10.9,8.47
2025/Sep/04,23:03:13,4.69,15.6
2025/Sep/04,23:03:16,4.29,12.0
2025/Sep/04,23:03:19,5.12,9.06
2025/Sep/04,23:03:20,1.82,9.66
2025/Sep/04,23:03:22,3.98,7.22
2025/Sep/04,23:03:26,7.94,7.33
2025/Sep/04,23:03:30,4.16,21.4
2025/Sep/04,23:03:33,14.3,8.0
2025/Sep/04,23:03:36,7.43,19.2
2025/Sep/04,23:03:40,3.87,13.0
2025/Sep/04,23:03:43,2.22,4.69
2025/Sep/04,23:03:46,6.85,7.58
2025/Sep/04,23:03:49,2.4,5.91
2025/Sep/04,23:03:53,14.3,14.9
2025/Sep/04,23:03:56,3.13,14.1
2025/Sep/04,23:04:00,10.0,9.28
2025/Sep/04,23:04:01,9.39,10.5
2025/Sep/04,23:04:05,6.55,14.5
2025/Sep/04,23:04:08,4.53,8.05
2025/Sep/04,23:04:09,12.6,13.4
2025/Sep/04,23:04:13,8.82,11.6
2025/Sep/04,23:04:16,5.66,10.7
2025/Sep/04,23:04:19,3.46,7.29
2025/Sep/04,23:04:20,2.4,32.8
2025/Sep/04,23:04:24,3.94,7.92
2025/Sep/04,23:04:28,2.76,15.3
2025/Sep/04,23:04:29,6.1,6.06
2025/Sep/04,23:04:33,4.53,12.5
2025/Sep/04,23:04:36,5.97,17.8
2025/Sep/04,23:04:39,2.31,38.7
2025/Sep/04,23:04:42,5.46,11.2
2025/Sep/04,23:04:45,4.42,11.7
2025/Sep/04,23:04:48,8.93,19.1
2025/Sep/04,23:04:52,4.31,10.8
2025/Sep/04,23:04:55,7.7,7.79
2025/Sep/04,23:04:58,3.74,8.79
2025/Sep/04,23:05:01,13.6,8.56
2025/Sep/04,23:05:04,2.33,15.3
2025/Sep/04,23:05:07,4.51,15.9
2025/Sep/04,23:05:08,10.7,8.96
2025/Sep/04,23:05:12,4.24,9.35
2025/Sep/04,23:05:15,4.73,16.2
2025/Sep/04,23:05:18,3.82,8.69
2025/Sep/04,23:05:21,5.63,12.8
2025/Sep/04,23:05:23,3.71,13.4
2025/Sep/04,23:05:24,5.83,12.1
2025/Sep/04,23:05:28,4.2,12.8
2025/Sep/04,23:05:31,5.22,17.6
2025/Sep/04,23:05:35,6.15,8.52
